COUNTY STATE 1990TP 1990NHP 1990HP 1990HSP 2000TP 2000NHP 2000HP 2000HSP 2010TP 2010NHP 2010HP 2010HSP 2011TP 2011NHP 2011HP 2011HSP
CochiseCounty Arizona 97624 69245 28379 29,07 117755 81621 36134 30,69 131346 88803 42543 32,39 133289 89795 43494 32,63
CoconinoCounty Arizona 96591 86895 9696 10,04 116320 103593 12727 10,94 134421 116255 18166 13,51 134511 115840 18671 13,88
GilaCounty Arizona 40216 32730 7486 18,61 51335 42789 8546 16,65 53597 44009 9588 17,89 53144 43374 9770 18,38
GrahamCounty Arizona 26554 19872 6682 25,16 33489 24435 9054 27,04 37220 25900 11320 30,41 37147 25693 11454 30,83
GreenleeCounty Arizona 8008 4552 3456 43,16 8547 4866 3681 43,07 8437 4397 4040 47,88 8606 4539 4067 47,26
LaPazCounty Arizona 13844 10705 3139 22,67 19715 15295 4420 22,42 20489 15683 4806 23,46 20419 15410 5009 24,53
MaricopaCounty Arizona 2122101 1776603 345498 16,28 3072149 2308808 763341 24,85 3817117 2688376 1128741 29,57 3880244 2717648 1162596 29,96
MohaveCounty Arizona 93497 88578 4919 5,26 155032 137850 17182 11,08 200186 170617 29569 14,77 202351 171689 30662 15,15
NavajoCounty Arizona 77658 72006 5652 7,28 97470 89459 8011 8,22 107449 95878 11571 10,77 107398 95431 11967 11,14
PimaCounty Arizona 666880 503618 163262 24,48 843746 596168 247578 29,34 980263 641461 338802 34,56 989569 642583 346986 35,06
PinalCounty Arizona 116379 82317 34062 29,27 179727 126056 53671 29,86 375770 268793 106977 28,47 382992 272929 110063 28,74
SantaCruzCounty Arizona 29676 6455 23221 78,25 38381 7376 31005 80,78 47420 8147 39273 82,82 47676 8254 39422 82,69
YavapaiCounty Arizona 107714 100815 6899 6,40 167517 151141 16376 9,78 211033 182305 28728 13,61 211888 182443 29445 13,90
YumaCounty Arizona 106895 63507 43388 40,59 160026 79254 80772 50,47 195751 78839 116912 59,72 200870 80076 120794 60,14
ArkansasCounty Arkansas 21653 21592 61 0,28 20749 20592 157 0,76 19019 18506 513 2,70 18892 18330 562 2,97
AshleyCounty Arkansas 24319 24099 220 0,90 24209 23433 776 3,21 21853 20784 1069 4,89 21692 20610 1082 4,99
BaxterCounty Arkansas 31186 31015 171 0,55 38386 38001 385 1,00 41513 40825 688 1,66 41536 40777 759 1,83
BentonCounty Arkansas 97499 96140 1359 1,39 153406 139937 13469 8,78 221339 187056 34283 15,49 227556 191762 35794 15,73
BooneCounty Arkansas 28297 28126 171 0,60 33948 33588 360 1,06 36903 36229 674 1,83 37051 36292 759 2,05
BradleyCounty Arkansas 11793 11602 191 1,62 12600 11560 1040 8,25 11508 9992 1516 13,17 11482 9886 1596 13,90
CalhounCounty Arkansas 5826 5795 31 0,53 5744 5658 86 1,50 5368 5216 152 2,83 5144 4984 160 3,11
CarrollCounty Arkansas 18654 18460 194 1,04 25357 22886 2471 9,74 27446 23957 3489 12,71 27512 23845 3667 13,33
ChicotCounty Arkansas 15713 15554 159 1,01 14117 13710 407 2,88 11800 11258 542 4,59 11721 11140 581 4,96
ClarkCounty Arkansas 21437 21310 127 0,59 23546 22980 566 2,40 22995 22069 926 4,03 22858 21864 994 4,35
ClayCounty Arkansas 18107 18037 70 0,39 17609 17469 140 0,80 16083 15866 217 1,35 15880 15645 235 1,48
CleburneCounty Arkansas 19411 19306 105 0,54 24046 23764 282 1,17 25970 25453 517 1,99 25901 25344 557 2,15
ClevelandCounty Arkansas 7781 7734 47 0,60 8571 8432 139 1,62 8689 8544 145 1,67 8672 8513 159 1,83
ColumbiaCounty Arkansas 25691 25614 77 0,30 25603 25334 269 1,05 24552 24019 533 2,17 24401 23815 586 2,40
ConwayCounty Arkansas 19151 19032 119 0,62 20336 19977 359 1,77 21273 20516 757 3,56 21270 20490 780 3,67
CraigheadCounty Arkansas 68956 68570 386 0,56 82148 80409 1739 2,12 96443 92166 4277 4,43 98315 93748 4567 4,65
CrawfordCounty Arkansas 42493 42034 459 1,08 53247 51504 1743 3,27 61948 58188 3760 6,07 61944 58048 3896 6,29
CrittendenCounty Arkansas 49939 49603 336 0,67 50866 50146 720 1,42 50902 49888 1014 1,99 50525 49448 1077 2,13
CrossCounty Arkansas 19225 19116 109 0,57 19526 19345 181 0,93 17870 17604 266 1,49 17781 17509 272 1,53
DallasCounty Arkansas 9614 9582 32 0,33 9210 9033 177 1,92 8116 7928 188 2,32 8072 7862 210 2,60
DeshaCounty Arkansas 16798 16646 152 0,90 15341 14856 485 3,16 13008 12430 578 4,44 12763 12167 596 4,67
DrewCounty Arkansas 17369 17277 92 0,53 18723 18394 329 1,76 18509 18055 454 2,45 18467 17977 490 2,65
FaulknerCounty Arkansas 60006 59665 341 0,57 86014 84505 1509 1,75 113237 108802 4435 3,92 116342 111695 4647 3,99
FranklinCounty Arkansas 14897 14718 179 1,20 17771 17461 310 1,74 18125 17754 371 2,05 18047 17644 403 2,23
FultonCounty Arkansas 10037 10009 28 0,28 11642 11580 62 0,53 12245 12148 97 0,79 12296 12180 116 0,94
GarlandCounty Arkansas 73397 72620 777 1,06 88068 85814 2254 2,56 96024 91402 4622 4,81 97124 92288 4836 4,98
GrantCounty Arkansas 13948 13866 82 0,59 16464 16275 189 1,15 17853 17461 392 2,20 17988 17573 415 2,31
GreeneCounty Arkansas 31804 31637 167 0,53 37331 36897 434 1,16 42090 41189 901 2,14 42720 41715 1005 2,35
HempsteadCounty Arkansas 21621 21330 291 1,35 23587 21641 1946 8,25 22609 19896 2713 12,00 22541 19812 2729 12,11
HotSpringCounty Arkansas 26115 26000 115 0,44 30353 29969 384 1,27 32923 32004 919 2,79 32881 31931 950 2,89
HowardCounty Arkansas 13569 13475 94 0,69 14300 13573 727 5,08 13789 12440 1349 9,78 13886 12464 1422 10,24
IndependenceCounty Arkansas 31192 31020 172 0,55 34233 33710 523 1,53 36647 34508 2139 5,84 36861 34684 2177 5,91
IzardCounty Arkansas 11364 11293 71 0,62 13249 13116 133 1,00 13696 13488 208 1,52 13419 13184 235 1,75
JacksonCounty Arkansas 18944 18878 66 0,35 18418 18184 234 1,27 17997 17561 436 2,42 17866 17387 479 2,68
JeffersonCounty Arkansas 85487 85060 427 0,50 84278 83468 810 0,96 77435 76216 1219 1,57 76246 74941 1305 1,71
JohnsonCounty Arkansas 18221 18000 221 1,21 22781 21254 1527 6,70 25540 22446 3094 12,11 25742 22459 3283 12,75
LafayetteCounty Arkansas 9643 9602 41 0,43 8559 8471 88 1,03 7645 7514 131 1,71 7516 7374 142 1,89
LawrenceCounty Arkansas 17457 17397 60 0,34 17774 17653 121 0,68 17415 17257 158 0,91 17178 17003 175 1,02
