COUNTY;STATE;TP;TPNH;TPH;PPH;AP
Lincoln;Arkansas;14134;13682;452;3,20;2010
Little River;Arkansas;13171;12814;357;2,71;2010
Logan;Arkansas;22353;21843;510;2,28;2010
Lonoke;Arkansas;68356;66110;2246;3,29;2010
Madison;Arkansas;15717;14958;759;4,83;2010
Marion;Arkansas;16653;16366;287;1,72;2010
Miller;Arkansas;43462;42424;1038;2,39;2010
Mississippi;Arkansas;46480;44785;1695;3,65;2010
Monroe;Arkansas;8149;8017;132;1,62;2010
Montgomery;Arkansas;9487;9126;361;3,81;2010
Nevada;Arkansas;8997;8777;220;2,45;2010
Newton;Arkansas;8330;8189;141;1,69;2010
Ouachita;Arkansas;26120;25712;408;1,56;2010
Perry;Arkansas;10445;10198;247;2,37;2010
Phillips;Arkansas;21757;21470;287;1,32;2010
Pike;Arkansas;11291;10564;727;6,44;2010
Poinsett;Arkansas;24583;24040;543;2,21;2010
Polk;Arkansas;20662;19472;1190;5,76;2010
Pope;Arkansas;61754;57586;4168;6,75;2010
Prairie;Arkansas;8715;8634;81;0,93;2010
Pulaski;Arkansas;382748;360580;22168;5,79;2010
Randolph;Arkansas;17969;17686;283;1,58;2010
St. Francis;Arkansas;28258;27109;1149;4,07;2010
Saline;Arkansas;107118;103031;4087;3,82;2010
Scott;Arkansas;11233;10451;782;6,96;2010
Searcy;Arkansas;8195;8074;121;1,48;2010
Sebastian;Arkansas;125744;110299;15445;12,28;2010
Sevier;Arkansas;17058;11838;5220;30,60;2010
Sharp;Arkansas;17264;16974;290;1,68;2010
Stone;Arkansas;12394;12237;157;1,27;2010
Union;Arkansas;41639;40179;1460;3,51;2010
Van Buren;Arkansas;17295;16820;475;2,75;2010
Washington;Arkansas;203065;171607;31458;15,49;2010
White;Arkansas;77076;74197;2879;3,74;2010
Woodruff;Arkansas;7260;7173;87;1,20;2010
Yell;Arkansas;22185;17955;4230;19,07;2010
Alameda;California;1510271;1170382;339889;22,51;2010
Alpine;California;1175;1091;84;7,15;2010
Amador;California;38091;33335;4756;12,49;2010
Butte;California;220000;188884;31116;14,14;2010
Calaveras;California;45578;40875;4703;10,32;2010
Colusa;California;21419;9615;11804;55,11;2010
Contra Costa;California;1049025;793465;255560;24,36;2010
Del Norte;California;28610;23517;5093;17,80;2010
El Dorado;California;181058;159183;21875;12,08;2010
Fresno;California;930450;462380;468070;50,31;2010
Glenn;California;28122;17583;10539;37,48;2010
Humboldt;California;134623;121412;13211;9,81;2010
Imperial;California;174528;34257;140271;80,37;2010
Inyo;California;18546;14949;3597;19,40;2010
Kern;California;839631;426598;413033;49,19;2010
Kings;California;152982;75116;77866;50,90;2010
Lake;California;64665;53577;11088;17,15;2010
Lassen;California;34895;28778;6117;17,53;2010
Los Angeles;California;9818605;5130716;4687889;47,75;2010
Madera;California;150865;69873;80992;53,69;2010
Marin;California;252409;213340;39069;15,48;2010
Mariposa;California;18251;16575;1676;9,18;2010
Mendocino;California;87841;68336;19505;22,21;2010
Merced;California;255793;115308;140485;54,92;2010
Modoc;California;9686;8344;1342;13,86;2010
Mono;California;14202;10440;3762;26,49;2010
Monterey;California;415057;185054;230003;55,42;2010
Napa;California;136484;92474;44010;32,25;2010
Nevada;California;98764;90325;8439;8,55;2010
Orange;California;3010232;1997259;1012973;33,65;2010
Placer;California;348432;303722;44710;12,83;2010
Plumas;California;20007;18402;1605;8,02;2010
Riverside;California;2189641;1194384;995257;45,45;2010
Sacramento;California;1418788;1112592;306196;21,58;2010
